seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
31950,2025,4593,Bruce Brown,NA,PG,28,7,NBA,TOT,41,12,922,5.1,12.1,0.421,1.1,3.2,0.333,4,8.9,0.452,2.1,2.5,0.815,1.6,4.8,6.4,3.3,1.3,0.4,1.5,2.8,13.3
31951,2025,4593,Bruce Brown,NA,PG,28,7,NBA,TOR,18,0,353,5.8,13.4,0.435,1.1,3.7,0.306,4.7,9.7,0.484,2.7,3,0.897,1.7,5.2,6.9,2.9,1.7,0.3,1.9,2.7,15.4
31952,2025,4593,Bruce Brown,NA,PG,28,7,NBA,NOP,23,12,569,4.6,11.3,0.41,1,2.8,0.356,3.6,8.4,0.429,1.7,2.3,0.75,1.5,4.6,6.1,3.5,1.1,0.4,1.3,2.8,12
31953,2025,4695,Bruno Fernando,NA,C,26,6,NBA,TOR,17,2,147,6.4,12,0.531,0,0,NA,6.4,12,0.531,1.5,2,0.75,5.1,7.3,12.5,4.4,1,2.2,3.4,6.6,14.2
31954,2025,5032,Bryce McGowens,NA,SG,22,3,NBA,POR,13,0,32,4.5,15.8,0.286,0,4.5,0,4.5,11.3,0.4,5.6,6.8,0.833,2.3,1.1,3.4,2.3,1.1,0,4.5,3.4,14.6
31955,2025,5224,Bub Carrington,NA,PG,19,1,NBA,WAS,82,57,2458,4.4,11,0.401,2,6,0.339,2.4,5,0.475,1,1.2,0.812,0.5,4.5,5,5.3,0.8,0.3,2.1,2.8,11.8
31956,2025,4381,Buddy Hield,NA,SG,32,9,NBA,GSW,82,22,1863,6.3,15.2,0.417,3.9,10.6,0.37,2.4,4.6,0.527,1,1.2,0.828,1,4.1,5.1,2.6,1.3,0.4,1.8,2.6,17.6
31957,2025,4150,CJ McCollum,NA,PG,33,12,NBA,NOP,56,56,1832,8.7,19.7,0.444,3.4,9,0.373,5.4,10.6,0.505,2.4,3.4,0.717,0.8,3.3,4.2,4.5,0.9,0.5,2.1,2.4,23.2
31958,2025,4912,Cade Cunningham,NA,PG,23,4,NBA,DET,70,70,2452,10,21.4,0.469,2.2,6.1,0.356,7.9,15.3,0.515,4.6,5.4,0.846,0.8,5.4,6.2,9.4,1,0.8,4.5,2.9,26.9
31959,2025,5034,Caleb Houstan,NA,SF,22,3,NBA,ORL,58,6,788,3.7,8.7,0.421,2.9,7.3,0.4,0.7,1.4,0.533,0.7,0.8,0.882,0.9,2.6,3.4,1.6,1,0.3,0.6,2.8,10.9
31960,2025,4696,Caleb Martin,NA,SF,29,6,NBA,TOT,45,24,1218,3.8,9,0.424,1.1,3,0.359,2.7,5.9,0.458,1.8,2.9,0.622,1.6,3.7,5.2,2.8,1.4,0.7,1.7,2.6,10.5
31961,2025,4696,Caleb Martin,NA,SF,29,6,NBA,PHI,31,24,943,3.9,8.9,0.435,1.3,3.3,0.379,2.6,5.5,0.469,1.8,2.8,0.622,1.6,3.6,5.2,2.6,1.3,0.8,1.6,2.4,10.7
31962,2025,4696,Caleb Martin,NA,SF,29,6,NBA,DAL,14,0,275,3.7,9.4,0.389,0.5,2.1,0.25,3.1,7.3,0.429,2,3.1,0.625,1.3,4.1,5.4,3.4,1.6,0.4,1.7,3.1,9.8
31963,2025,5225,Cam Christie,NA,SG,19,1,NBA,LAC,13,0,59,4.3,14.6,0.292,1.2,7.9,0.154,3.1,6.7,0.455,1.2,2.4,0.5,1.8,5.5,7.3,3.7,3.1,0.6,1.2,2.4,11
31964,2025,4697,Cam Reddish,NA,SF,25,6,NBA,LAL,33,8,589,2.3,5.7,0.404,0.8,2.9,0.277,1.5,2.9,0.532,1,1.6,0.615,1,3,4,1.3,2,0.6,0.7,2.6,6.4
31965,2025,5226,Cam Spencer,NA,SG,24,1,NBA,MEM,25,1,252,4.9,11.7,0.415,2.7,7.6,0.358,2.1,4.1,0.517,2.7,2.7,1,1.7,2.6,4.3,4.9,1.3,0.1,0.9,3.3,15.1
31966,2025,4913,Cam Thomas,NA,SG,23,4,NBA,BRK,25,23,781,9.2,20.9,0.438,3.1,9,0.349,6,11.9,0.506,6.1,7,0.881,0.7,3.1,3.8,4.3,0.7,0.1,2.9,2,27.6
31967,2025,5123,Cam Whitmore,NA,SF,20,2,NBA,HOU,51,3,827,7.8,17.5,0.444,2.8,8,0.355,5,9.6,0.518,2.4,3.1,0.75,1.6,5,6.6,2.1,1.3,0.6,2,1.9,20.8
31968,2025,4698,Cameron Johnson,NA,PF,28,6,NBA,BRK,57,57,1800,7.1,14.9,0.475,3.2,8.2,0.39,3.9,6.8,0.578,4,4.5,0.893,1.1,3.9,4.9,3.9,1.1,0.5,2,2.1,21.4
31969,2025,4311,Cameron Payne,NA,PG,30,10,NBA,NYK,72,5,1090,5.9,14.7,0.401,3.1,8.5,0.363,2.8,6.3,0.453,1.6,1.8,0.907,0.5,3,3.4,6.7,1.3,0.5,1.7,3.7,16.5
31970,2025,4382,Caris LeVert,NA,SG,30,9,NBA,TOT,64,3,1596,6.3,13.5,0.467,2.4,6.4,0.373,3.9,7.1,0.552,2.5,3.5,0.71,0.9,3.7,4.6,4.8,1.3,0.7,1.7,2.2,17.5
31971,2025,4382,Caris LeVert,NA,SF,30,9,NBA,CLE,38,3,904,5.4,11.9,0.453,2.4,5.9,0.405,3,6,0.5,2.3,3.3,0.699,0.9,3.4,4.3,5.6,1.3,0.8,2,1.9,15.5
31972,2025,4382,Caris LeVert,NA,SG,30,9,NBA,ATL,26,0,692,7.5,15.7,0.482,2.4,7.1,0.338,5.2,8.6,0.6,2.7,3.7,0.722,1,4,5,3.9,1.2,0.7,1.3,2.7,20.2
31973,2025,5124,Cason Wallace,NA,SG,21,2,NBA,OKC,68,43,1876,4.5,9.4,0.474,1.4,4,0.356,3,5.4,0.562,0.6,0.7,0.811,1.4,3,4.4,3.3,2.3,0.7,1.1,2.8,10.9
31974,2025,4917,Charles Bassey,NA,C,24,4,NBA,SAS,36,1,376,6.5,11.2,0.581,0,0,NA,6.5,11.2,0.581,2,3.2,0.636,5.4,9.2,14.6,1.6,1.3,2.9,2.2,4.8,15
31975,2025,5125,Chet Holmgren,NA,C,22,2,NBA,OKC,32,32,877,6.9,14,0.49,1.8,4.8,0.379,5,9.2,0.547,4.1,5.5,0.754,2,8.6,10.5,2.6,0.9,2.9,2.3,3,19.7
31976,2025,4481,Chris Boucher,NA,PF,32,8,NBA,TOR,50,0,862,7.6,15.5,0.492,2.9,8.1,0.363,4.7,7.4,0.633,2.8,3.6,0.782,2.9,6.4,9.4,1.4,1,1,1.2,2.8,21
31977,2025,4919,Chris Duarte,NA,SG,27,4,NBA,CHI,17,0,74,5.8,12.6,0.462,2.9,7.3,0.4,2.9,5.4,0.545,2.9,3.9,0.75,2.4,7.3,9.7,4.4,0,0,0.5,3.4,17.5
31978,2025,5126,Chris Livingston,NA,SF,21,2,NBA,MIL,21,1,106,3.1,9.2,0.333,0,2.7,0,3.1,6.5,0.474,4.1,5.4,0.75,3.4,8.5,11.9,1.7,1.7,0,2,2.7,10.2
